iter	RMSE
0	1009.689041
1	979.4237504
2	951.0612798
3	924.255505
4	898.2327709
5	873.7800675
6	850.8416893
7	829.3248504
8	809.3916089
9	790.4458227
10	772.814294
11	756.0700566
12	739.6535313
13	725.1914957
14	710.6591755
15	697.1633541
16	684.4460104
17	672.6860146
18	661.7841136
19	650.8794451
20	641.2785268
21	631.4632293
22	623.0835022
23	615.0187372
24	606.7455386
25	599.1073292
26	592.4239722
27	585.5364483
28	579.2477667
29	573.2074314
30	567.7026455
31	562.707991
32	557.8618187
33	553.3100023
34	549.1173291
35	545.1376565
36	541.4032899
37	537.9092624
38	534.1830961
39	530.9972482
40	527.8631222
41	524.8568793
42	521.6022506
43	519.1888544
44	516.6373164
45	514.3944419
46	512.3908726
47	510.3622349
48	508.3419377
49	506.527425
50	504.949624
51	503.3296123
52	501.754251
53	499.5788229
54	498.1842584
55	496.9201538
56	495.1791749
57	493.6874411
58	492.4373091
59	491.147326
60	489.3082798
61	488.1674922
62	486.9981794
63	485.8715756
64	484.5728282
65	483.2320153
66	482.2437279
67	481.4380372
68	480.2666812
69	478.9723303
70	477.6919093
71	476.8053356
72	475.5334825
73	473.9752238
74	472.689628
75	471.5289752
76	470.8644253
77	470.0816537
78	469.1373163
79	468.2281665
80	467.2901393
81	466.4174682
82	465.320662
83	464.2603516
84	463.2115246
85	462.2360519
86	461.2640006
87	460.3087754
88	459.7042529
89	458.704595
90	457.8058149
91	457.3416668
92	456.8243791
93	455.7484688
94	454.9021927
95	454.2779073
96	453.3015284
97	452.4900681
98	451.9961668
99	451.420511
100	450.5298884
101	449.8276345
102	449.2995899
103	448.5614155
104	447.9741902
105	447.463897
106	446.2150041
107	445.6995338
108	444.6560449
109	444.4788338
110	443.9086554
111	443.498531
112	442.5527991
113	441.4124025
114	440.6903179
115	440.2273376
116	439.7294414
117	438.7900211
118	437.7068261
119	437.2191186
120	436.6886224
121	436.3273909
122	435.7132039
123	434.8596739
124	434.0238795
125	433.1631868
126	432.8607608
127	432.2261301
128	431.6391403
129	430.8166862
130	430.2607929
131	429.619325
132	428.9056912
133	428.5069702
134	428.0071857
135	427.5014866
136	427.1068804
137	426.9501721
138	426.5569572
139	425.7468959
140	425.350677
141	424.8418765
142	424.330782
143	424.0800887
144	423.5984832
145	423.1563387
146	422.6991279
147	422.4203124
148	422.0024379
149	421.407913
150	420.443433
151	420.1360337
152	419.8378847
153	418.5859323
154	418.319794
155	418.0276177
156	417.7881952
157	417.1975858
158	416.4492972
159	416.134508
160	415.832236
161	415.6190869
162	415.0521133
163	414.0560243
164	413.9653491
165	413.2058795
166	412.8404724
167	412.5036112
168	412.0793827
169	411.5923524
170	410.9478869
171	409.9210195
172	409.5437857
173	409.3030334
174	408.8157503
175	408.4885549
176	407.8944379
177	407.5479922
178	407.1417149
179	406.5687299
180	406.1351482
181	405.8784499
182	405.1425093
183	404.4466597
184	404.2232234
185	404.0397811
186	403.7465498
187	403.3730206
188	402.8691542
189	402.3583057
190	401.8076086
191	401.3913837
192	401.1001802
193	400.8332237
194	400.2227892
195	399.7409911
196	399.5483218
197	399.3583803
198	398.8910139
199	398.4587544
200	398.0324619
201	397.763932
202	397.3475213
203	396.8343013
204	396.5601392
205	396.1039995
206	395.7991969
207	395.1761975
208	394.8913159
209	394.6472196
210	394.5501914
211	394.4153107
212	394.0117636
213	393.368932
214	392.9978728
215	392.6714637
216	392.2845504
217	392.0636891
218	391.8005809
219	391.5128156
220	391.4359942
221	391.0353809
222	390.088742
223	389.6581824
224	389.3326438
225	389.0532451
226	388.7403476
227	388.5397549
228	388.2217016
229	388.0452262
230	387.6092082
231	387.316883
232	386.4238552
233	386.1245144
234	385.7436165
235	385.3833715
236	385.0666227
237	384.770375
238	384.4729112
239	384.3483278
240	383.9350547
241	383.6395775
242	383.0035724
243	382.7894805
244	382.2913356
245	382.0115386
246	381.9188005
247	381.8202236
248	381.3387731
249	380.9670131
250	380.8030824
251	380.3635687
252	380.0538487
253	379.7470798
254	379.6390544
255	379.0494082
256	378.7048582
257	378.4431102
258	378.2181827
259	378.0912659
260	377.8266395
261	377.4293862
262	377.1154641
263	376.8795649
264	376.6735788
265	376.4606576
266	375.9308064
267	375.8519476
268	375.5790937
269	375.3044634
270	375.0806227
271	374.927115
272	374.7276826
273	374.4639453
274	374.1494448
275	373.8739194
276	373.6381271
277	373.4208377
278	373.1273507
279	372.8969037
280	372.542344
281	372.3299129
282	372.169148
283	371.8560822
284	371.3481763
285	371.0644821
286	370.8291426
287	370.6475643
288	370.4434301
289	370.2288036
290	369.9755172
291	369.6084373
292	369.3280254
293	369.2333916
294	368.984673
295	368.5834086
296	368.4003565
297	368.2891603
298	367.8932087
299	367.6410271
300	367.3310766
301	367.0693725
302	366.9954502
303	366.7381403
304	366.5999801
305	366.2901679
306	366.0394669
307	365.8442686
308	365.7705914
309	365.6375054
310	365.3539577
311	364.8511145
312	364.6443531
313	364.4144944
314	364.1422624
315	363.7752595
316	363.4264662
317	363.2889247
318	363.0386689
319	362.8244169
320	362.4711393
321	362.2173152
322	361.7897042
323	361.6031953
324	361.4220044
325	361.2544075
326	361.1221527
327	360.9990147
328	360.7738633
329	360.6011811
330	360.3290872
331	360.1074673
332	359.9602172
333	359.7134257
334	359.556884
335	359.4265656
336	359.3022194
337	359.1864862
338	358.89334
339	358.6882051
340	358.4012967
341	358.2090522
342	358.041012
343	357.7615194
344	357.5506223
345	357.3085078
346	357.1358624
347	357.0070583
348	356.7939111
349	356.6159626
350	356.4354872
351	356.0624389
352	355.9159568
353	355.7801435
354	355.5458215
355	355.4564644
356	355.3022503
357	355.0694802
358	354.9521855
359	354.8023242
360	354.6568825
361	354.5526142
362	354.2666446
363	353.9490378
364	353.7274606
365	353.5070008
366	353.3377811
367	353.2089587
368	353.0467981
369	352.8846906
370	352.6606924
371	352.459564
372	352.3608201
373	352.2701618
374	352.0903657
375	351.6679579
376	351.4370117
377	351.3674033
378	351.1302465
379	350.9320195
380	350.7721094
381	350.6664106
382	350.5104563
383	350.3109782
384	350.0411651
385	349.8886668
386	349.675617
387	349.5080047
388	349.3762226
389	349.1368652
390	348.9602876
391	348.711009
392	348.5989795
393	348.4241615
394	348.1927276
395	348.0219041
396	347.8984774
397	347.7151249
398	347.5336946
399	347.400478
400	347.2621129
401	347.1822675
402	347.0738433
403	346.9128042
404	346.7541036
405	346.6739926
406	346.4741451
407	346.0098346
408	345.9037227
409	345.8167883
410	345.4648443
411	345.3691888
412	345.2029352
413	344.9877194
414	344.8453435
415	344.6672584
416	344.4534458
417	344.306493
418	344.0726823
419	343.8800647
420	343.7510687
421	343.5919381
422	343.4144588
423	343.2899193
424	343.1371969
425	343.0012594
426	342.9157291
427	342.7868959
428	342.6099954
429	342.4683791
430	342.3074487
431	342.1620951
432	342.0196346
433	341.9295666
434	341.7450648
435	341.646088
436	341.4773808
437	341.3497774
438	340.9123059
439	340.7051868
440	340.5823971
441	340.4673148
442	340.3707654
443	340.2775369
444	340.2113025
445	340.0917224
446	339.9908822
447	339.8219027
448	339.6656122
449	339.5534419
450	339.4055814
451	339.2594399
452	338.8970395
453	338.7226113
454	338.4084102
455	338.3030916
456	338.1474507
457	338.0155052
458	337.9307512
459	337.687894
460	337.5705474
461	337.506776
462	337.368131
463	337.2976421
464	337.1117891
465	336.9660855
466	336.9122878
467	336.7121713
468	336.5716498
469	336.4758765
470	336.3288448
471	336.2169014
472	336.0151256
473	335.8673172
474	335.6967988
475	335.5740564
476	335.3927757
477	335.2607829
478	335.136421
479	334.9803272
480	334.8706435
481	334.788035
482	334.6432432
483	334.5053356
484	334.3293286
485	334.1754197
486	334.0163138
487	333.9276146
488	333.7854195
489	333.6532731
490	333.4810243
491	333.3322467
492	333.2123809
493	333.0408125
494	332.8707607
495	332.7539979
496	332.3340909
497	332.1980731
498	332.0604876
499	331.9710914
500	331.8597342
501	331.7703033
502	331.6588592
503	331.5470671
504	331.3812603
505	331.2684612
506	331.1173676
507	330.994366
508	330.8507156
509	330.760467
510	330.6519726
511	330.4981626
512	330.3940826
513	330.3075873
514	330.2197829
515	330.1300637
516	330.0232345
517	329.9211509
518	329.8061739
519	329.6807893
520	329.5839901
521	329.4640501
522	329.3284302
523	329.2297677
524	329.0990194
525	328.9723282
526	328.8429456
527	328.7271607
528	328.6374062
529	328.5238315
530	328.4254076
531	328.3218861
532	328.2150273
533	328.1398161
534	328.0091042
535	327.8914151
536	327.8140777
537	327.6812813
538	327.5647518
539	327.4606142
540	327.3392964
541	327.2017925
542	326.9116863
543	326.8132298
544	326.7401486
545	326.6138432
546	326.2324531
547	326.1503408
548	325.8633382
549	325.7971864
550	325.7262685
551	325.6424176
552	325.5786429
553	325.4489297
554	325.3240521
555	325.1647921
556	325.0555786
557	324.9814386
558	324.8635542
559	324.7769337
560	324.6690173
561	324.5631275
562	324.433554
563	324.3046134
564	324.1896797
565	324.0624695
566	323.9564809
567	323.8514215
568	323.7474316
569	323.607208
570	323.5264092
571	323.408691
572	323.3391106
573	323.1047401
574	322.8468626
575	322.7848289
576	322.6841857
577	322.5973093
578	322.4948212
579	322.3951356
580	322.2796108
581	322.1787498
582	322.0855417
583	322.0121372
584	321.9090228
585	321.8148765
586	321.7403699
587	321.6296734
588	321.5398095
589	321.4453748
590	321.1803931
591	321.0806503
592	320.9862309
593	320.6541189
594	320.5176833
595	320.4301091
596	320.3577518
597	320.2633002
598	320.1719471
599	320.0693762
600	319.9936887
601	319.8955881
602	319.7768353
603	319.6867929
604	319.6347893
605	319.5303436
606	319.4512843
607	319.3453878
608	319.1531548
609	319.0758782
610	318.9958183
611	318.9178476
612	318.828249
613	318.6909913
614	318.6098549
615	318.5153397
616	318.4671469
617	318.428276
618	318.3039606
619	318.2224019
620	318.1529112
621	318.0622371
622	317.7572539
623	317.6801746
624	317.5863253
625	317.50442
626	317.4087948
627	317.2631017
628	317.1688143
629	317.1278155
630	317.0391932
631	316.9557655
632	316.7934059
633	316.7065396
634	316.4858373
635	316.4491031
636	316.3800673
637	316.1768803
638	316.1038448
639	315.9991386
640	315.9556553
641	315.8484442
642	315.7564865
643	315.6611781
644	315.6031165
645	315.5387203
646	315.4562017
647	315.1481655
648	315.0290126
649	314.9322782
650	314.8422507
651	314.7790485
652	314.6722343
653	314.6083125
654	314.4915545
655	314.4204614
656	314.357891
657	314.2974382
658	314.2587788
659	314.1633132
660	314.0874731
661	314.0211672
662	313.933503
663	313.8595456
664	313.8015506
665	313.7274287
666	313.64704
667	313.3780114
668	313.2996595
669	313.2661784
670	313.1055342
671	312.9492915
672	312.8141871
673	312.7455016
674	312.7058475
675	312.6253094
676	312.5606189
677	312.5000553
678	312.4546635
679	312.2949829
680	312.2263068
681	312.1225478
682	311.9104685
683	311.8460632
684	311.7797348
685	311.7190092
686	311.6319161
687	311.5417201
688	311.4810927
689	311.3897574
690	311.328139
691	311.2708202
692	311.2047932
693	311.1399625
694	311.0313398
695	310.9496745
696	310.8764255
697	310.7581411
698	310.7228842
699	310.6447951
700	310.5228466
701	310.4576869
702	310.4062108
703	310.3262893
704	310.2379753
705	310.2062077
706	310.0443206
707	310.0098338
708	309.9510458
709	309.9008461
710	309.8403755
711	309.7859086
712	309.7231502
713	309.6553589
714	309.4904382
715	309.3990458
716	309.367785
717	309.2649401
718	309.1766249
719	309.0997071
720	309.0209266
721	308.9964605
722	308.9513249
723	308.8563133
724	308.7092841
725	308.6390594
726	308.5704146
727	308.5078783
728	308.4469781
729	308.3925991
730	308.2739149
731	308.2087601
732	308.1011619
733	308.0453531
734	307.9536154
735	307.8923338
736	307.8315836
737	307.7999545
738	307.5774864
739	307.4893459
740	307.4168219
741	307.3416523
742	307.2496521
743	307.1615957
744	307.1056371
745	307.0007869
746	306.9441594
747	306.8709192
748	306.8181595
749	306.6581363
750	306.6037969
751	306.5417204
752	306.4387988
753	306.3512237
754	306.3079469
755	306.2549746
756	306.2033806
757	306.0923646
758	306.0061418
759	305.8853427
760	305.8279615
761	305.6908889
762	305.608976
763	305.5600537
764	305.4864922
765	305.3295342
766	305.2649529
767	305.1961291
768	305.1356966
769	305.0826262
770	305.0269721
771	304.9751176
772	304.890479
773	304.8509222
774	304.794022
775	304.7091852
776	304.6114451
777	304.5517314
778	304.4429887
779	304.3883807
780	304.3690832
781	304.3297337
782	304.2651729
783	304.1996567
784	304.0479517
785	303.8374077
786	303.7571671
787	303.67079
788	303.5926362
789	303.4268388
790	303.3364948
791	303.2627336
792	303.2026905
793	303.1652704
794	302.9155252
795	302.8390789
796	302.6110494
797	302.5507493
798	302.4591648
799	302.2499099
800	302.2037986
801	302.050569
802	301.9104703
803	301.8511498
804	301.7993042
805	301.7258179
806	301.6497956
807	301.4000334
808	301.3657749
809	301.286222
810	301.1845608
811	300.9989392
812	300.9108504
813	300.8643199
814	300.7981594
815	300.7301328
816	300.6504438
817	300.5932196
818	300.5401932
819	300.4613858
820	300.3810577
821	300.3144692
822	300.2617365
823	300.1703756
