iter	Passed	Remaining
0	130	1300770
1	239	1199595
2	308	1027519
3	381	954395
4	458	916074
5	537	894570
6	613	875928
7	703	878760
8	777	863173
9	861	860398
10	954	867056
11	1057	880486
12	1147	881333
13	1220	870388
14	1304	868144
15	1379	860943
16	1456	855097
17	1531	849368
18	1604	842709
19	1674	835732
20	1751	831999
21	1830	829920
22	1909	828088
23	1990	827360
24	2080	829943
25	2161	829089
26	2235	825552
27	2306	821468
28	2376	817183
29	2448	813772
30	2518	809887
31	2589	806553
32	2656	802192
33	2725	798957
34	2798	796818
35	2874	795535
36	2953	795154
37	3031	794738
38	3112	794900
39	3192	794952
40	3265	793221
41	3337	791219
42	3408	789280
43	3483	788196
44	3556	786767
45	3629	785223
46	3697	782844
47	3767	781015
48	3842	780242
49	3916	779350
50	3985	777462
51	4063	777249
52	4145	777869
53	4222	777662
54	4300	777582
55	4376	777060
56	4447	775661
57	4520	774750
58	4588	773119
59	4653	770826
60	4719	768879
61	4785	766975
62	4855	765805
63	4929	765182
64	4999	764108
65	5071	763305
66	5149	763371
67	5224	763039
68	5291	761558
69	5357	759864
70	5420	757960
71	5492	757216
72	5567	757036
73	5637	756164
74	5703	754625
75	5775	754042
76	5847	753506
77	5916	752483
78	5992	752496
79	6068	752389
80	6136	751352
81	6202	750150
82	6277	749931
83	6338	748217
84	6405	747093
85	6477	746598
86	6547	745974
87	6616	745199
88	6682	744137
89	6758	744104
90	6826	743233
91	6903	743365
92	6980	743552
93	7048	742744
94	7124	742709
95	7206	743361
96	7270	742194
97	7344	742006
98	7402	740253
99	7471	739583
100	7535	738481
101	7599	737364
102	7672	737197
103	7739	736329
104	7801	735156
105	7877	735162
106	7944	734444
107	8004	733052
108	8070	732256
109	8130	730973
110	8206	731067
111	8276	730659
112	8343	729958
113	8414	729643
114	8474	728368
115	8537	727412
116	8602	726551
117	8671	726132
118	8735	725251
119	8798	724331
120	8864	723643
121	8941	723860
122	9004	723010
123	9072	722511
124	9145	722400
125	9212	721872
126	9288	721996
127	9348	720961
128	9417	720516
129	9481	719816
130	9540	718682
131	9611	718495
132	9678	717927
133	9754	718137
134	9817	717354
135	9879	716473
136	9948	716151
137	10006	715004
138	10077	714875
139	10144	714370
140	10209	713777
141	10273	713162
142	10337	712480
143	10411	712543
144	10476	711968
145	10536	711038
146	10597	710218
147	10664	709834
148	10725	709043
149	10790	708523
150	10860	708311
151	10930	708080
152	10999	707826
153	11064	707342
154	11134	707142
155	11194	706319
156	11266	706280
157	11326	705461
158	11396	705279
159	11460	704755
160	11524	704237
161	11601	704497
162	11668	704124
163	11736	703824
164	11790	702697
165	11854	702178
166	11918	701705
167	11983	701266
168	12053	701104
169	12115	700476
170	12182	700170
171	12249	699881
172	12312	699324
173	12382	699210
174	12448	698842
175	12509	698192
176	12573	697738
177	12636	697222
178	12703	696892
179	12769	696593
180	12838	696403
181	12915	696645
182	12986	696608
183	13059	696617
184	13119	695977
185	13191	695947
186	13267	696171
187	13330	695693
188	13396	695326
189	13464	695127
190	13529	694747
191	13589	694128
192	13652	693661
193	13718	693374
194	13790	693326
195	13857	693076
196	13931	693166
197	13990	692538
198	14053	692099
199	14122	691926
200	14184	691439
201	14256	691434
202	14327	691379
203	14394	691149
204	14468	691246
205	14532	690873
206	14590	690186
207	14655	689865
208	14715	689288
209	14791	689510
210	14848	688809
211	14927	689137
212	14995	688932
213	15062	688743
214	15129	688480
215	15187	687876
216	15253	687609
217	15328	687725
218	15402	687824
219	15473	687787
220	15522	686793
221	15589	686571
222	15658	686431
223	15722	686087
224	15801	686399
225	15864	686052
226	15928	685693
227	16004	685883
228	16077	685907
229	16153	686092
230	16220	685897
231	16279	685342
232	16345	685114
233	16410	684817
234	16477	684617
235	16538	684183
236	16605	683993
237	16670	683711
238	16730	683228
239	16799	683094
240	16871	683106
241	16937	682905
242	17003	682651
243	17063	682205
244	17130	682023
245	17201	681968
246	17247	680975
247	17320	681021
248	17390	680961
249	17457	680782
250	17535	681011
251	17604	680930
252	17670	680697
253	17734	680389
254	17788	679715
255	17851	679389
256	17920	679309
257	17979	678837
258	18044	678586
259	18118	678681
260	18179	678273
261	18246	678119
262	18316	678042
263	18373	677523
264	18439	677319
265	18498	676848
266	18565	676690
267	18608	675659
268	18674	675465
269	18743	675390
270	18803	674973
271	18868	674756
272	18933	674518
273	19003	674473
274	19067	674226
275	19138	674216
276	19208	674170
277	19276	674040
278	19339	673779
279	19406	673608
280	19471	673387
281	19530	672962
282	19595	672763
283	19657	672441
284	19723	672260
285	19789	672078
286	19861	672109
287	19921	671720
